Height,Weight,Reach,STANCE,DOB,name,link
"6' 3""",200 lbs.,--,Orthodox,"Feb 01, 1967",Bill Mahood,http://www.ufcstats.com/fighter-details/ae58685caf8e4a0d
"5' 5""",125 lbs.,"67""",Orthodox,"Sep 25, 1980",Iliarde Santos,http://www.ufcstats.com/fighter-details/14aa21bc82cac57d
"6' 1""",185 lbs.,"77""",Orthodox,"Mar 10, 1979",Vitor Miranda,http://www.ufcstats.com/fighter-details/4bcb6eb12b4ad4aa
"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986",Lorenz Larkin,http://www.ufcstats.com/fighter-details/9450848a71d53776
"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",Belal Muhammad,http://www.ufcstats.com/fighter-details/b1b0729d27936f2f
"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",Marc Diakiese,http://www.ufcstats.com/fighter-details/32c355b04fc57f3a
--,--,--,Orthodox,--,Felix Lee Mitchell,http://www.ufcstats.com/fighter-details/6cbb7661c3258617
"5' 11""",183 lbs.,--,Southpaw,"Jul 17, 1975",Yuki Kondo,http://www.ufcstats.com/fighter-details/1fe7adb23b3eedfb
"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",Nikita Krylov,http://www.ufcstats.com/fighter-details/1091d4d957141094
"5' 10""",170 lbs.,"72""",Orthodox,"Jan 13, 1988",Derrick Krantz,http://www.ufcstats.com/fighter-details/714e1e0681ddb703
"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",Kron Gracie,http://www.ufcstats.com/fighter-details/242d36d241b43c12
"5' 2""",115 lbs.,"63""",Orthodox,"Aug 14, 1999",Kay Hansen,http://www.ufcstats.com/fighter-details/4100c7a09497ad41
"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982",Kyle Bradley,http://www.ufcstats.com/fighter-details/a6959da32f0e6b5d
"6' 7""",265 lbs.,--,Orthodox,"Mar 13, 1977",Brad Imes,http://www.ufcstats.com/fighter-details/4908c5ee68a50ee5
"6' 0""",185 lbs.,--,Orthodox,"Jun 17, 1977",Andrei Semenov,http://www.ufcstats.com/fighter-details/5f2f0da6fd6a84fd
"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",Paul Daley,http://www.ufcstats.com/fighter-details/23725c826c481e7f
"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",Rich Attonito,http://www.ufcstats.com/fighter-details/210935fd21670f6d
"6' 0""",205 lbs.,--,Orthodox,--,Cory Walmsley,http://www.ufcstats.com/fighter-details/83c6c3e0f8bde8ee
"5' 5""",135 lbs.,"65""",Orthodox,"Dec 10, 1993",Tracy Cortez,http://www.ufcstats.com/fighter-details/68d4a891e5cf2029
"5' 11""",135 lbs.,"71""",Switch,"Mar 18, 1993",Ryan MacDonald,http://www.ufcstats.com/fighter-details/35e1f9984ed64206
"6' 4""",205 lbs.,"79""",Orthodox,"Apr 04, 1977",Stephan Bonnar,http://www.ufcstats.com/fighter-details/c6a33ff198aaaeeb
"6' 6""",260 lbs.,"81""",Orthodox,"Jan 16, 1992",Don'Tale Mayes,http://www.ufcstats.com/fighter-details/1a9480fc288e55d7
"5' 10""",190 lbs.,--,Orthodox,"Jan 25, 1943",Ron van Clief,http://www.ufcstats.com/fighter-details/23ab42947c1990e3
"5' 9""",135 lbs.,"69""",Southpaw,"Nov 20, 1990",Boston Salmon,http://www.ufcstats.com/fighter-details/98e946879ba20c0f
"5' 8""",155 lbs.,"69""",Orthodox,"Feb 12, 1985",Yosdenis Cedeno,http://www.ufcstats.com/fighter-details/3e61082025db8137
"5' 10""",155 lbs.,"73""",Orthodox,"Dec 22, 1984",Michel Quinones,http://www.ufcstats.com/fighter-details/5e84a859c6a82288
"6' 1""",196 lbs.,--,Orthodox,"Aug 04, 1963",Art Jimmerson,http://www.ufcstats.com/fighter-details/a5c53b3ddb31cc7d
"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",Chan Sung Jung,http://www.ufcstats.com/fighter-details/c451d67c09c55418
"5' 8""",125 lbs.,"70""",Orthodox,"Jan 15, 1990",Matt Schnell,http://www.ufcstats.com/fighter-details/67c1d46f4ed16f9e
"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988",Andre Ewell,http://www.ufcstats.com/fighter-details/5f6f049d54728e88
"5' 11""",155 lbs.,--,Southpaw,"Mar 24, 1983",Brandon Melendez,http://www.ufcstats.com/fighter-details/2b06b6ad5db63348
"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984",Alexander Yakovlev,http://www.ufcstats.com/fighter-details/d06f8869449ba7bd
"5' 9""",235 lbs.,--,Orthodox,--,John Campetella,http://www.ufcstats.com/fighter-details/31bbd46d57dfbcb7
"5' 7""",135 lbs.,--,Orthodox,"Sep 07, 1994",Larissa Pacheco,http://www.ufcstats.com/fighter-details/16b89be2f5c16fba
"5' 10""",185 lbs.,--,Orthodox,"Dec 08, 1972",Frank Shamrock,http://www.ufcstats.com/fighter-details/fcaae0385b514f11
"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986",Ruslan Magomedov,http://www.ufcstats.com/fighter-details/369e1ce458ef50a6
"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983",Chris Cope,http://www.ufcstats.com/fighter-details/8c8c92a12621d7e0
"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",Alex Andrade,http://www.ufcstats.com/fighter-details/1562b12763cc8d67
"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",Neil Magny,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5
"6' 1""",170 lbs.,"76""",Southpaw,"Jan 14, 1986",Matthew Riddle,http://www.ufcstats.com/fighter-details/d023ae89a2a4a41e
"6' 2""",170 lbs.,"73""",Orthodox,"Jun 04, 1986",James Krause,http://www.ufcstats.com/fighter-details/8f6a18831a120817
"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991",Augusto Sakai,http://www.ufcstats.com/fighter-details/441eacbe20e0e80b
"5' 6""",240 lbs.,--,,"Jul 16, 1974",Andy Anderson,http://www.ufcstats.com/fighter-details/9199e0735b83dd32
"6' 2""",185 lbs.,--,Orthodox,"May 01, 1981",Nissen Osterneck,http://www.ufcstats.com/fighter-details/d632d156c0549e07
"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",Dan Ige,http://www.ufcstats.com/fighter-details/82a5152216251682
"5' 7""",155 lbs.,--,Orthodox,"Nov 30, 1980",Luke Caudillo,http://www.ufcstats.com/fighter-details/68d76fd9ecf7431d
"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",Gilbert Aldana,http://www.ufcstats.com/fighter-details/d26934530dc5b248
"5' 6""",115 lbs.,"65""",Orthodox,"Aug 18, 1987",Joanna Jedrzejczyk,http://www.ufcstats.com/fighter-details/3d6749c4267da18f
"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993",Alexa Grasso,http://www.ufcstats.com/fighter-details/e8b731feff72294b
"5' 7""",125 lbs.,"69""",Orthodox,"Sep 24, 1982",Roxanne Modafferi,http://www.ufcstats.com/fighter-details/4498b382c65a7faa
"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984",Keita Nakamura,http://www.ufcstats.com/fighter-details/65ddc8a9ac4e8531
"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",Anthony Smith,http://www.ufcstats.com/fighter-details/d4c9dcd330403612
"5' 10""",155 lbs.,"72""",Orthodox,"Oct 08, 1986",Will Brooks,http://www.ufcstats.com/fighter-details/b6e6c3b1dcaae0a1
"5' 9""",185 lbs.,"71""",Southpaw,"Feb 02, 1978",Hector Lombard,http://www.ufcstats.com/fighter-details/db1f2ed63b54b9a7
"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",Thiago Moises,http://www.ufcstats.com/fighter-details/d945aae53e3e54e6
"5' 11""",170 lbs.,--,Orthodox,"May 10, 1987",Anton Zafir,http://www.ufcstats.com/fighter-details/8c822811eedc11ad
"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",Elizeu Zaleski dos Santos,http://www.ufcstats.com/fighter-details/8adcbd525fab8d9b
"5' 11""",170 lbs.,"75""",Orthodox,"Apr 25, 1988",TJ Waldburger,http://www.ufcstats.com/fighter-details/8f2939f5fd9cca1e
"5' 8""",145 lbs.,--,Southpaw,"Jul 25, 1984",Eric Wisely,http://www.ufcstats.com/fighter-details/53f84637dfffab7a
"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987",Aiemann Zahabi,http://www.ufcstats.com/fighter-details/24656ef4d605c96f
"5' 9""",135 lbs.,"70""",Orthodox,"Jan 15, 1991",Michael McDonald,http://www.ufcstats.com/fighter-details/d0314416a7f26527
"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988",Jenel Lausa,http://www.ufcstats.com/fighter-details/ec664422b22d9787
"5' 4""",135 lbs.,"71""",Southpaw,"Apr 06, 1985",Marcus Brimage,http://www.ufcstats.com/fighter-details/81801f57bd0a7c41
"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",Marcio Alexandre Junior,http://www.ufcstats.com/fighter-details/d53482bef23235ba
"5' 7""",155 lbs.,"67""",Orthodox,"May 05, 1981",Mizuto Hirota,http://www.ufcstats.com/fighter-details/35faad160d346839
"5' 6""",145 lbs.,"64""",Orthodox,"Nov 09, 1989",Cody Stamann,http://www.ufcstats.com/fighter-details/bf7ad5628363eec9
"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",Thales Leites,http://www.ufcstats.com/fighter-details/cfb65863d5099327
"6' 3""",205 lbs.,"76""",Orthodox,"Aug 18, 1985",Gian Villante,http://www.ufcstats.com/fighter-details/fcd448a2fe1a23cc
"6' 4""",197 lbs.,--,Southpaw,--,Yuri Vaulin,http://www.ufcstats.com/fighter-details/4679a38cced7c64a
"6' 4""",240 lbs.,"77""",Orthodox,"Nov 22, 1983",Mark Godbeer,http://www.ufcstats.com/fighter-details/ad56b3f00ca38dfd
"5' 11""",145 lbs.,"71""",Orthodox,"Oct 06, 1992",Yair Rodriguez,http://www.ufcstats.com/fighter-details/cbf5e6f231b55443
"6' 0""",245 lbs.,"75""",Orthodox,"Jan 12, 1995",Carlos Felipe,http://www.ufcstats.com/fighter-details/a2ea77e974c5889f
"6' 1""",170 lbs.,--,Orthodox,"Aug 03, 1973",Renato Verissimo,http://www.ufcstats.com/fighter-details/c24b1db4b809d41b
"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",Christina Marks,http://www.ufcstats.com/fighter-details/c7be22a47a58365a
"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",Tim Means,http://www.ufcstats.com/fighter-details/4b47e71384a9522f
"6' 10""",260 lbs.,--,Orthodox,"Aug 04, 1979",Wes Sims,http://www.ufcstats.com/fighter-details/e0f7c4f3f67bc808
"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",Chris Lytle,http://www.ufcstats.com/fighter-details/91acd6910b802a9e
"5' 9""",145 lbs.,--,Southpaw,"Mar 11, 1986",Tommy Hayden,http://www.ufcstats.com/fighter-details/0871254cd790c250
"5' 5""",125 lbs.,"64""",Orthodox,"Nov 28, 1987",Jessica-Rose Clark,http://www.ufcstats.com/fighter-details/6c8072b61c276e67
"5' 4""",125 lbs.,"62""",Orthodox,"Mar 22, 1995",Liana Jojua,http://www.ufcstats.com/fighter-details/eebc23626e38f5dc
"5' 10""",155 lbs.,--,Orthodox,"Oct 03, 1983",Leo Kuntz,http://www.ufcstats.com/fighter-details/6905d45bd71b50a9
"6' 3""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",John Allan,http://www.ufcstats.com/fighter-details/6ebe96a116e79e52
"5' 10""",170 lbs.,"71""",Switch,"Apr 10, 1988",James Moontasri,http://www.ufcstats.com/fighter-details/c06a9b48d4132c8e
"6' 1""",170 lbs.,"71""",Orthodox,"Feb 27, 1993",Laureano Staropoli,http://www.ufcstats.com/fighter-details/a12a8314adc1c1c9
"5' 11""",178 lbs.,--,Southpaw,--,Donnie Chappell,http://www.ufcstats.com/fighter-details/8788beb528894f33
"6' 3""",240 lbs.,"77""",Orthodox,"Jun 02, 1976",Antonio Rodrigo Nogueira,http://www.ufcstats.com/fighter-details/ee9d73f4fee9cbdd
"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986",Mark Eddiva,http://www.ufcstats.com/fighter-details/40ff198adda94b9f
"6' 0""",170 lbs.,"73""",Orthodox,"Dec 01, 1988",Richard Walsh,http://www.ufcstats.com/fighter-details/303a05a7aa3ff761
"5' 11""",185 lbs.,--,Orthodox,"Nov 16, 1977",Delson Heleno,http://www.ufcstats.com/fighter-details/970beed85bc46b63
"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986",Christian Morecraft,http://www.ufcstats.com/fighter-details/80779d7441af1b52
"5' 9""",205 lbs.,--,Orthodox,--,Roland Payne,http://www.ufcstats.com/fighter-details/2e04a3b4a2011b97
"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",Joe Duffy,http://www.ufcstats.com/fighter-details/654ae722109a0d31
"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",Leon Edwards,http://www.ufcstats.com/fighter-details/f1fac969a1d70b08
"5' 9""",185 lbs.,--,Orthodox,--,Tyrone Roberts,http://www.ufcstats.com/fighter-details/d1e6a6536ee62517
"5' 9""",170 lbs.,--,Southpaw,"Nov 19, 1976",Alexandre Barros,http://www.ufcstats.com/fighter-details/8fd1f27e86661ede
"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",Aisling Daly,http://www.ufcstats.com/fighter-details/e50cd77732d39967
"5' 8""",135 lbs.,"72""",Orthodox,"Oct 01, 1979",Jerrod Sanders,http://www.ufcstats.com/fighter-details/12f1b140e248bdb9
"6' 0""",185 lbs.,"73""",Orthodox,"Dec 19, 1989",Jack Marshman,http://www.ufcstats.com/fighter-details/045f25b3a4c08e81
"6' 0""",210 lbs.,--,Orthodox,--,Johnny Rhodes,http://www.ufcstats.com/fighter-details/319fa1bd3176bded
"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",Tomasz Drwal,http://www.ufcstats.com/fighter-details/679a9054e2815943
"5' 7""",135 lbs.,--,Orthodox,"Aug 08, 1980",Shayna Baszler,http://www.ufcstats.com/fighter-details/8ef4a91ac694b7ce
"6' 3""",185 lbs.,--,Orthodox,"Aug 08, 1984",Alberto Uda,http://www.ufcstats.com/fighter-details/8f2deefe8c5dfb5d
"5' 7""",170 lbs.,"72""",Orthodox,"Mar 01, 1983",John Howard,http://www.ufcstats.com/fighter-details/fc31f896cde2bc2e
"5' 9""",185 lbs.,"73""",Orthodox,"Aug 21, 1982",Daniel Sarafian,http://www.ufcstats.com/fighter-details/7e47047d0971d566
"6' 2""",243 lbs.,"74""",Orthodox,"Aug 21, 1993",Luis Henrique,http://www.ufcstats.com/fighter-details/e5bda12faabfc850
"6' 1""",185 lbs.,--,Southpaw,"Nov 07, 1973",Curtis Stout,http://www.ufcstats.com/fighter-details/e09dbbd5fe3f0fe2
"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983",Bethe Correia,http://www.ufcstats.com/fighter-details/673ea7dcc786b1b3
"5' 11""",185 lbs.,"75""",Southpaw,"Jun 09, 1985",John Phillips,http://www.ufcstats.com/fighter-details/e9ac7bfb65c25497
"5' 10""",155 lbs.,--,Orthodox,"Jun 21, 1981",John Polakowski,http://www.ufcstats.com/fighter-details/b18fb36a4aa00093
"6' 3""",170 lbs.,--,Switch,"Aug 04, 1987",Jonathan Meunier,http://www.ufcstats.com/fighter-details/5823ceab56741617
"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987",Peter Sobotta,http://www.ufcstats.com/fighter-details/1fcfc3709fe58151
"5' 11""",155 lbs.,--,,"Mar 11, 1984",Sako Chivitchian,http://www.ufcstats.com/fighter-details/9f7787e56a6bc0f4
"5' 10""",170 lbs.,"70""",Orthodox,"Feb 09, 1976",Chris Clements,http://www.ufcstats.com/fighter-details/e5ecaf884b6da2bc
"6' 5""",205 lbs.,--,Orthodox,"Feb 19, 1984",Ednaldo Oliveira,http://www.ufcstats.com/fighter-details/acd9513399a8b09b
"5' 10""",170 lbs.,--,Southpaw,"Jun 08, 1985",Takenori Sato,http://www.ufcstats.com/fighter-details/276c60b14b571dd4
"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",Jonathan Martinez,http://www.ufcstats.com/fighter-details/f2477cf43c4975cc
"5' 7""",155 lbs.,"68""",Southpaw,"May 09, 1976",Spencer Fisher,http://www.ufcstats.com/fighter-details/f34312c2ccfa0e00
"5' 10""",145 lbs.,"70""",Orthodox,"Dec 08, 1988",Billy Quarantillo,http://www.ufcstats.com/fighter-details/aa171d55d4b5208f
"6' 0""",170 lbs.,--,Orthodox,"Oct 25, 1981",Keith Wisniewski,http://www.ufcstats.com/fighter-details/cd12227edd3f134b
"6' 1""",155 lbs.,--,,"Apr 25, 1985",Martin Svensson,http://www.ufcstats.com/fighter-details/bcad7223af3c19da
"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",Vitor Belfort,http://www.ufcstats.com/fighter-details/0ee783aa00e468f0
"6' 2""",205 lbs.,--,Orthodox,"Jun 18, 1973",Wes Combs,http://www.ufcstats.com/fighter-details/a85998eb79650b2c
"5' 8""",145 lbs.,--,Orthodox,"Jul 24, 1979",Mike Lullo,http://www.ufcstats.com/fighter-details/e26882820f9e8df5
"5' 8""",135 lbs.,"69""",Orthodox,"Mar 31, 1994",Felipe Colares,http://www.ufcstats.com/fighter-details/dbac0a413af64bbe
"5' 9""",125 lbs.,"71""",Orthodox,"Jun 14, 1997",Naoki Inoue,http://www.ufcstats.com/fighter-details/199eb7cf6ae90294
"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",Sergio Moraes,http://www.ufcstats.com/fighter-details/1bcaac2d99b90fce
"6' 7""",265 lbs.,"81""",Orthodox,"Jul 17, 1976",Sean McCorkle,http://www.ufcstats.com/fighter-details/008dc37cca279def
"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",Danny Martinez,http://www.ufcstats.com/fighter-details/8a9c6c4301f6d088
"5' 10""",199 lbs.,--,Switch,--,Kevin Jackson,http://www.ufcstats.com/fighter-details/13b2f59210dda9cc
"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",Brad Blackburn,http://www.ufcstats.com/fighter-details/7e69a4b0961aa555
"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983",Augusto Mendes,http://www.ufcstats.com/fighter-details/3d5b1ce6097dbb49
"6' 5""",205 lbs.,"79""",Orthodox,"Aug 24, 1991",Ryan Spann,http://www.ufcstats.com/fighter-details/a67f5afa8d6a1b80
"5' 11""",155 lbs.,"73""",Orthodox,"Aug 28, 1984",Jon Tuck,http://www.ufcstats.com/fighter-details/53ec9cb470e1a4ea
"5' 6""",155 lbs.,"66""",Southpaw,"Apr 24, 1984",Nick Hein,http://www.ufcstats.com/fighter-details/2816ced060a21be3
"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",Jack Hermansson,http://www.ufcstats.com/fighter-details/0a1942069c9ad6b6
"6' 0""",240 lbs.,--,Orthodox,"Aug 09, 1968",Hugo Duarte,http://www.ufcstats.com/fighter-details/706404da0775dcbc
"6' 0""",185 lbs.,--,Orthodox,"Mar 26, 1971",Tony Fryklund,http://www.ufcstats.com/fighter-details/253de74457bd6374
"5' 7""",145 lbs.,"70""",Orthodox,"Aug 06, 1985",Daniel Pineda,http://www.ufcstats.com/fighter-details/361d49960a196976
"5' 10""",155 lbs.,"72""",Southpaw,"Aug 22, 1995",Nasrat Haqparast,http://www.ufcstats.com/fighter-details/b7b84ccd221be298
"6' 3""",230 lbs.,--,,"Dec 20, 1975",Nandor Guelmino,http://www.ufcstats.com/fighter-details/1abfb658cd4f8533
"6' 8""",255 lbs.,--,Switch,"Apr 14, 1981",Jack May,http://www.ufcstats.com/fighter-details/2c6e81426dd7573c
"5' 10""",243 lbs.,"73""",Orthodox,"Feb 20, 1988",James Mulheron,http://www.ufcstats.com/fighter-details/8d5350fa18b79e9a
"5' 10""",170 lbs.,"74""",Orthodox,"Jun 25, 1987",Sean Spencer,http://www.ufcstats.com/fighter-details/ab850a77a0fa487d
"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",Nick Agallar,http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb
"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",Cody Donovan,http://www.ufcstats.com/fighter-details/7bc96507e4b38d3b
"6' 3""",205 lbs.,--,,"May 10, 1988",Cory Hendricks,http://www.ufcstats.com/fighter-details/9ab9912e0f8fa6d6
"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",Israel Adesanya,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e
"5' 9""",170 lbs.,--,Southpaw,"Feb 13, 1980",Anthony Lapsley,http://www.ufcstats.com/fighter-details/f3a853544e4413c4
"6' 1""",170 lbs.,"76""",Southpaw,"Mar 18, 1980",Kyle Noke,http://www.ufcstats.com/fighter-details/7339d340aa2889cb
"6' 2""",250 lbs.,"77""",Orthodox,"May 17, 1988",Jeff Hughes,http://www.ufcstats.com/fighter-details/6a11e325aa60ad02
"6' 3""",205 lbs.,"80""",Orthodox,"Oct 14, 1992",Jiri Prochazka,http://www.ufcstats.com/fighter-details/009341ed974bad72
"5' 2""",125 lbs.,"64""",Orthodox,"Jul 19, 1986",Hector Sandoval,http://www.ufcstats.com/fighter-details/449c890bd90f3374
"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982",Mike Massenzio,http://www.ufcstats.com/fighter-details/5b2d7906aa894274
"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",Andy Enz,http://www.ufcstats.com/fighter-details/993d385f5a475375
"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",Alex Da Silva,http://www.ufcstats.com/fighter-details/c3ded6f7155f9ea4
"6' 0""",185 lbs.,--,Orthodox,--,Joe Vedepo,http://www.ufcstats.com/fighter-details/d35c3ed553b71fa2
"5' 9""",125 lbs.,"68""",Southpaw,"Aug 16, 1992",Brandon Royval,http://www.ufcstats.com/fighter-details/6e15f63b6c2e2c15
"6' 3""",249 lbs.,"78""",Orthodox,"Nov 09, 1985",Marcin Tybura,http://www.ufcstats.com/fighter-details/c9cf753cfdf77fc2
"5' 11""",199 lbs.,--,Orthodox,--,Ernie Verdicia,http://www.ufcstats.com/fighter-details/2b1587a3376ab743
"5' 10""",170 lbs.,--,Orthodox,"Jul 29, 1974",Dave Menne,http://www.ufcstats.com/fighter-details/275cafc9de131c83
"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983",Ricky Rainey,http://www.ufcstats.com/fighter-details/9b1e3fb4f8cbd5b7
"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",Chad Laprise,http://www.ufcstats.com/fighter-details/c03a5022f8439f2a
"5' 6""",170 lbs.,"67""",Orthodox,"Jul 25, 1981",Michel Prazeres,http://www.ufcstats.com/fighter-details/e51fcd9cd84c0b93
"5' 7""",135 lbs.,"68""",Switch,"Apr 18, 1984",Grigory Popov,http://www.ufcstats.com/fighter-details/d3fa5c5955397532
"5' 9""",155 lbs.,--,Southpaw,"Apr 29, 1984",John Cofer,http://www.ufcstats.com/fighter-details/8b260672a21d1fd6
"5' 9""",155 lbs.,--,Orthodox,"Mar 01, 1979",Gerald Strebendt,http://www.ufcstats.com/fighter-details/04f9fe830cf13482
"6' 1""",170 lbs.,"75""",Orthodox,"Oct 09, 1980",Jorge Santiago,http://www.ufcstats.com/fighter-details/f8dc544e7077d014
"6' 0""",185 lbs.,"74""",Southpaw,"May 17, 1970",Matt Lindland,http://www.ufcstats.com/fighter-details/0e041d43a47d2e4b
"6' 0""",170 lbs.,--,Orthodox,"Dec 04, 1975",Julio Paulino,http://www.ufcstats.com/fighter-details/60c72f7459827881
"5' 10""",155 lbs.,--,Orthodox,"Aug 29, 1989",Joey Gomez,http://www.ufcstats.com/fighter-details/0778f94eb5d588a5
"5' 6""",135 lbs.,"68""",Orthodox,"Sep 24, 1978",Brad Pickett,http://www.ufcstats.com/fighter-details/c945adc22c2bfe8f
--,--,--,,--,Sam Fulton,http://www.ufcstats.com/fighter-details/1f5f75658551f2d3
"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",Cyril Asker,http://www.ufcstats.com/fighter-details/9be6020024133293
"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",Arman Tsarukyan,http://www.ufcstats.com/fighter-details/eae48ff31db420c2
"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981",Kevin Casey,http://www.ufcstats.com/fighter-details/8d9586726252dbf7
"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988",Jingliang Li,http://www.ufcstats.com/fighter-details/e64b96c07d7ce999
"6' 3""",170 lbs.,--,Southpaw,"Aug 20, 1977",Dorian Price,http://www.ufcstats.com/fighter-details/ee4b670e159f4a33
"6' 3""",185 lbs.,"75""",Orthodox,"Jul 09, 1977",Tim Credeur,http://www.ufcstats.com/fighter-details/89b8d1bf1ff09d1d
"6' 1""",205 lbs.,"72""",Orthodox,"Feb 11, 1964",Ken Shamrock,http://www.ufcstats.com/fighter-details/63b65af1c5cb02cb
"5' 10""",170 lbs.,--,Orthodox,"Nov 21, 1988",Jorge Lopez,http://www.ufcstats.com/fighter-details/ee624ee2a18f2a43
"5' 10""",145 lbs.,"72""",Switch,"Feb 20, 1994",Grant Dawson,http://www.ufcstats.com/fighter-details/99bd51917728c25d
"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",Papy Abedi,http://www.ufcstats.com/fighter-details/c9f6385af6df66d7
"6' 0""",170 lbs.,"71""",Orthodox,"Mar 01, 1996",Sage Northcutt,http://www.ufcstats.com/fighter-details/ed9d8ee3a4239b1c
"6' 1""",170 lbs.,"76""",Orthodox,"Jun 24, 1989",Brad Scott,http://www.ufcstats.com/fighter-details/34e552520a934063
"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",Junior Albini,http://www.ufcstats.com/fighter-details/c482c8605455a213
"5' 10""",145 lbs.,"73""",Orthodox,"Jun 01, 1990",Bobby Moffett,http://www.ufcstats.com/fighter-details/d76ad9a08c4408ff
"5' 7""",135 lbs.,"73""",Southpaw,"Jan 09, 1992",Ode Osbourne,http://www.ufcstats.com/fighter-details/6d68c1afe954f121
"5' 8""",170 lbs.,--,Orthodox,"Jul 31, 1978",Anthony Torres,http://www.ufcstats.com/fighter-details/918d9d89d4d52acc
"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",Beneil Dariush,http://www.ufcstats.com/fighter-details/08af939f41b5a57b
"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",Tom Aspinall,http://www.ufcstats.com/fighter-details/399afbabc02376b5
"5' 6""",115 lbs.,"65""",Orthodox,"Apr 29, 1987",Marina Rodriguez,http://www.ufcstats.com/fighter-details/cd2c4d30c6e13b47
"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",Edgar Garcia,http://www.ufcstats.com/fighter-details/8d49545dadf9b919
"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993",Liu Pingyuan,http://www.ufcstats.com/fighter-details/31bbd39c0a075d4e
"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991",Tyler Diamond,http://www.ufcstats.com/fighter-details/f5f6419c5f00abad
